sym,dir,entry_time,entry_price,exit_time,exit_price,pnl_rub,reason,contracts,go,stop,pattern
NM,L,2025-01-09 11:05:00+08:00,14792.0,2025-01-09 11:10:00+08:00,14791.0,-0.09498377501352083,fade,1,1405.0,14715.714285714286,vod
RN,L,2025-01-09 10:00:00+08:00,55778.0,2025-01-09 11:20:00+08:00,56308.0,95.01954175481373,fade,2,5000.0,54690.142857142855,vou
NG,S,2025-01-09 11:15:00+08:00,3.08,2025-01-09 11:20:00+08:00,3.073,11.363636363636553,fade,1,5000.0,3.0996428571428574,vyf
SR,L,2025-01-09 10:00:00+08:00,28284.0,2025-01-09 11:25:00+08:00,28421.0,138.50639937774008,fade,5,5719.0,27981.5,sm
AF,L,2025-01-09 10:00:00+08:00,6115.0,2025-01-09 11:25:00+08:00,6101.0,-68.68356500408831,fade,6,5000.0,6076.285714285715,sm
SN,L,2025-01-09 10:00:00+08:00,25163.0,2025-01-09 11:25:00+08:00,25233.0,27.818622580773358,fade,2,5000.0,24781.928571428572,vou
AL,L,2025-01-09 11:10:00+08:00,5715.0,2025-01-09 11:25:00+08:00,5725.0,8.748906386701663,fade,1,5000.0,5688.0,vou
GL,L,2025-01-09 11:20:00+08:00,9101.1,2025-01-09 11:25:00+08:00,9114.9,7.5815011372247705,fade,1,5000.0,9088.828571428572,vod
SF,S,2025-01-09 11:05:00+08:00,1411.8,2025-01-09 11:30:00+08:00,1413.0,-4.249893752656345,fade,1,5000.0,1422.9428571428573,vod
NG,S,2025-01-09 11:25:00+08:00,3.071,2025-01-09 11:30:00+08:00,3.071,-0.0,fade,4,5000.0,3.0938571428571433,vyf
YD,L,2025-01-09 11:25:00+08:00,4019.0,2025-01-09 11:30:00+08:00,4021.0,4.976362279173924,fade,2,5000.0,3970.0714285714284,vod
AF,L,2025-01-09 11:40:00+08:00,6110.0,2025-01-09 11:50:00+08:00,6083.571428571428,-43.25461772270304,stop,2,5000.0,6083.571428571428,sm
SN,L,2025-01-09 11:45:00+08:00,25179.0,2025-01-09 11:50:00+08:00,25154.0,-9.928909011477819,fade,2,5000.0,24925.785714285714,vou
SV,S,2025-01-09 11:50:00+08:00,31.55,2025-01-09 11:55:00+08:00,31.55,-0.0,fade,1,5000.0,31.746428571428574,vod
YD,L,2025-01-09 11:50:00+08:00,4012.0,2025-01-09 12:00:00+08:00,4007.0,-18.693918245264207,fade,3,5000.0,3967.0,vod
SN,L,2025-01-09 11:55:00+08:00,25077.0,2025-01-09 12:05:00+08:00,25144.0,26.71770945487897,fade,2,5000.0,24814.14285714286,vou
NG,S,2025-01-09 12:00:00+08:00,3.065,2025-01-09 12:05:00+08:00,3.067,-9.787928221860803,fade,3,5000.0,3.0896428571428576,vyf
HY,L,2025-01-09 10:40:00+08:00,5355.0,2025-01-09 12:15:00+08:00,5324.0,-17.366946778711487,fade,1,3000.0,5302.142857142857,vou
NM,L,2025-01-09 12:10:00+08:00,14772.0,2025-01-09 12:20:00+08:00,14785.0,16.07399133495803,fade,13,1405.0,14688.42857142857,vod
SR,L,2025-01-09 11:40:00+08:00,28439.0,2025-01-09 12:35:00+08:00,28145.071428571428,-118.2163578184891,stop,2,5719.0,28145.071428571428,sm
GL,L,2025-01-09 12:40:00+08:00,9109.7,2025-01-09 12:45:00+08:00,9095.614285714288,-7.731162544163385,stop,1,5000.0,9095.614285714288,vod
Si,L,2025-01-09 12:40:00+08:00,104910.0,2025-01-09 12:45:00+08:00,104722.0,-7.168048803736537,fade,4,1000.0,104659.71428571429,vyf
SV,S,2025-01-09 12:50:00+08:00,31.6,2025-01-09 13:05:00+08:00,31.61,-1.5822784810123434,fade,1,5000.0,31.760714285714286,vod
HY,L,2025-01-09 12:30:00+08:00,5306.0,2025-01-09 13:10:00+08:00,5311.0,22.615906520919715,fade,8,3000.0,5272.785714285715,vou
YD,L,2025-01-09 12:50:00+08:00,4007.0,2025-01-09 13:10:00+08:00,3993.0,-17.46942850012478,fade,1,5000.0,3967.0,vod
SN,L,2025-01-09 12:35:00+08:00,25134.0,2025-01-09 13:15:00+08:00,25168.0,13.527492639452534,fade,2,5000.0,24910.785714285714,vou
GL,L,2025-01-09 13:05:00+08:00,9118.6,2025-01-09 13:15:00+08:00,9114.9,-4.0576404272593685,fade,2,5000.0,9097.628571428573,vod
BR,S,2025-01-09 11:05:00+08:00,76.4,2025-01-09 13:25:00+08:00,76.54,-5.497382198952902,fade,1,3000.0,76.87857142857143,vyf
AL,L,2025-01-09 13:20:00+08:00,5725.0,2025-01-09 13:25:00+08:00,5734.0,23.580786026200872,fade,3,5000.0,5705.428571428572,vou
SV,S,2025-01-09 13:20:00+08:00,31.69,2025-01-09 13:30:00+08:00,31.7,-3.1555695803086175,fade,2,5000.0,31.872142857142858,vod
NM,L,2025-01-09 13:30:00+08:00,14921.0,2025-01-09 13:35:00+08:00,14918.0,-1.4124388445814624,fade,5,1405.0,14835.714285714286,vod
SV,S,2025-01-09 13:40:00+08:00,31.73,2025-01-09 13:50:00+08:00,31.66,22.06114087614254,fade,2,5000.0,31.962142857142855,vod
AL,L,2025-01-09 13:45:00+08:00,5755.0,2025-01-09 13:50:00+08:00,5770.0,13.032145960034754,fade,1,5000.0,5735.714285714285,vou
BR,S,2025-01-09 14:00:00+08:00,76.55,2025-01-09 14:05:00+08:00,76.53,0.7838014369691452,fade,1,3000.0,76.99642857142857,vyf
AF,L,2025-01-09 11:50:00+08:00,6080.0,2025-01-09 14:10:00+08:00,6110.0,74.01315789473684,fade,3,5000.0,6052.285714285715,sm
SR,L,2025-01-09 12:35:00+08:00,28159.0,2025-01-09 14:10:00+08:00,28369.0,85.30061436840798,fade,2,5719.0,27898.64285714286,sm
SV,S,2025-01-09 14:05:00+08:00,31.61,2025-01-09 14:10:00+08:00,31.62,-1.5817779183805067,fade,1,5000.0,31.895714285714284,vod
GL,L,2025-01-09 14:05:00+08:00,9109.1,2025-01-09 14:10:00+08:00,9109.1,0.0,fade,1,5000.0,9091.371428571429,vod
NG,S,2025-01-09 13:55:00+08:00,3.127,2025-01-09 14:15:00+08:00,3.168428571428571,-264.9732742473385,stop,4,5000.0,3.168428571428571,vyf
YD,L,2025-01-09 14:05:00+08:00,4017.0,2025-01-09 14:15:00+08:00,4008.0,-11.202389843166541,fade,1,5000.0,3958.785714285714,vod
SN,L,2025-01-09 14:10:00+08:00,25236.0,2025-01-09 14:15:00+08:00,25221.0,-2.9719448407037565,fade,1,5000.0,25078.14285714286,vou
NG,S,2025-01-09 14:15:00+08:00,3.168,2025-01-09 14:25:00+08:00,3.171,-4.734848484847963,fade,1,5000.0,3.223714285714286,vyf
NM,L,2025-01-09 13:55:00+08:00,14893.0,2025-01-09 14:30:00+08:00,14894.0,1.6981132075471697,fade,18,1405.0,14761.857142857143,vod
RN,L,2025-01-09 14:20:00+08:00,55860.0,2025-01-09 14:30:00+08:00,55800.0,-21.482277121374864,fade,4,5000.0,55312.142857142855,vou
SN,L,2025-01-09 14:25:00+08:00,25161.0,2025-01-09 14:35:00+08:00,25239.0,46.500536544652434,fade,3,5000.0,24985.285714285714,vou
SF,S,2025-01-09 14:30:00+08:00,1416.2,2025-01-09 14:45:00+08:00,1414.6,22.595678576474175,fade,4,5000.0,1422.6285714285716,vod
