ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd,fill_rate
ED,H1,E,4,3176,46.85,0.7999,-0.0188,62.8811,99.9
PT,H1,E,4,3463,46.84,0.7329,-0.1222,430.4106,100.0
ED,H1,E,3,3177,46.81,0.7819,-0.0185,60.1101,100.0
SBERF,H1,E,4,1806,46.79,0.8893,-0.0266,70.3986,100.0
RB,H1,E,4,804,46.64,1.0383,0.0032,9.3303,100.0
GAZPF,H1,E,3,1780,46.63,0.9771,-0.0069,65.419,99.9
RM,H1,E,4,3323,46.61,0.8832,-0.0361,133.1096,100.0
KC,H1,E,4,410,46.59,0.6651,-0.1616,68.0273,100.0
PT,H1,E,2,3463,46.55,0.6308,-0.1363,477.9626,100.0
GL,H1,E,3,2873,46.47,0.5832,-0.156,471.7704,99.9
SV,H1,E,3,3576,46.45,0.9284,-0.0241,106.1131,100.0
PT,H1,E,3,3463,46.4,0.6801,-0.1343,471.0161,100.0
SR,H1,E,3,3603,46.32,0.8649,-0.0326,124.5812,99.9
IMOEXF,H1,E,2,2654,46.31,0.9324,-0.0113,45.325,99.9
BM,H1,E,4,1422,46.2,0.7994,-0.0989,162.4289,99.7
GL,H1,E,2,2874,46.17,0.4846,-0.1891,563.342,100.0
GD,H1,E,2,3657,46.16,0.937,-0.0085,47.1134,99.9
NA,H1,E,3,3388,46.1,0.7876,-0.0475,171.2293,99.9
PD,H1,E,4,3409,46.08,0.7057,-0.1606,564.4355,100.0
BM,H1,E,2,1424,46.07,0.7885,-0.0775,130.4984,99.9
CR,H1,E,3,1017,46.02,0.8468,-0.0275,32.0747,99.9
NA,H1,E,4,3387,46.0,0.8097,-0.0481,174.7721,99.9
GL,H1,E,4,2873,45.98,0.5486,-0.1943,576.3263,99.9
NM,H1,E,3,3394,45.93,0.697,-0.133,451.7541,100.0
NM,H1,E,4,3394,45.93,0.6969,-0.15,510.8586,100.0
SR,H1,E,2,3604,45.92,0.8215,-0.0367,138.2873,99.9
CC,H1,E,3,1654,45.89,0.7977,-0.1321,248.1399,99.9
TN,H1,E,3,1277,45.89,0.7121,-0.0996,128.0119,99.8
TT,H1,E,3,1277,45.89,0.7121,-0.0996,128.0119,99.8
MN,H1,E,3,510,45.88,0.8593,-0.0431,26.7005,99.6
VB,H1,E,4,3194,45.87,1.2854,0.1411,406.6578,100.0
SR,H1,E,4,3602,45.84,0.8354,-0.0461,175.7639,99.9
ED,H1,E,2,3177,45.64,0.7761,-0.0158,52.5406,100.0
CR,H1,E,2,1017,45.62,0.7724,-0.0361,41.1584,99.9
TT,H1,E,2,1277,45.5,0.5871,-0.1357,179.0344,99.8
TN,H1,E,2,1277,45.5,0.5871,-0.1357,179.0344,99.8
CC,H1,E,2,1655,45.44,0.7284,-0.1553,270.7323,99.9
RM,H1,E,2,3323,45.41,0.8167,-0.0437,154.8675,100.0
NA,H1,E,2,3389,45.35,0.7676,-0.044,155.5559,100.0
ME,H1,E,4,3436,45.31,0.7517,-0.1483,507.1601,100.0
SV,H1,E,2,3576,45.3,0.9028,-0.0279,111.124,100.0
GZ,H1,E,3,3431,45.26,0.8008,-0.0647,228.5857,100.0
SBERF,H1,E,3,1806,45.24,0.8677,-0.0281,66.4502,100.0
SN,H1,E,4,3370,45.22,0.6782,-0.1572,533.403,100.0
RM,H1,E,3,3323,45.14,0.8444,-0.0438,160.6364,100.0
CC,H1,E,4,1653,45.13,0.8392,-0.1123,255.7693,99.8
GK,H1,E,4,3103,45.09,0.6909,-0.145,453.6854,100.0
VB,H1,E,3,3194,45.05,1.0138,0.0061,372.6918,100.0
TN,H1,E,4,1277,44.95,0.6806,-0.1236,158.7366,99.8
TT,H1,E,4,1277,44.95,0.6806,-0.1236,158.7366,99.8
MN,H1,E,2,510,44.9,0.8028,-0.0516,29.4505,99.6
OJ,H1,E,4,903,44.85,0.8642,-0.1052,104.4345,100.0
