ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
CE,H1,A,4,1770,72.09,4.2774,0.4843,7.103
SBERF,H1,C,3,802,72.07,3.4743,0.2782,7.7477
RL,15m,A,3,1697,72.07,4.2447,0.2955,4.8237
GLDRUBF,15m,A,6,11785,72.07,4.0004,0.2035,4.2237
RB,30m,C,2,705,72.06,3.7598,0.0627,0.9167
RL,H1,A,4,508,72.05,4.4732,0.5454,6.493
AL,15m,A,4,14231,72.05,5.2453,0.4317,9.7473
CC,H1,C,2,658,72.04,3.0605,0.5965,33.3284
SBERF,30m,C,2,1556,71.98,4.3724,0.2116,8.9866
GZ,15m,A,6,13248,71.98,4.2039,0.3297,9.8478
MX,15m,A,6,13330,71.97,4.1423,0.2281,6.6661
PT,5m,A,3,37762,71.97,3.016,0.1541,114.3568
VB,H1,C,3,1380,71.96,1.641,0.3005,430.1119
MC,15m,A,6,13439,71.95,4.1327,0.2275,6.6661
NR,H1,A,2,1444,71.95,4.0633,0.4902,11.0437
IB,H1,C,2,474,71.94,4.5074,0.5735,4.2596
RB,15m,A,3,2341,71.94,4.6489,0.0573,0.9465
VB,30m,C,3,2954,71.9,1.8909,0.2634,432.5891
IB,5m,A,4,13408,71.89,2.6187,0.1845,46.8345
SE,30m,A,4,5891,71.87,5.1613,0.7445,13.8172
RB,30m,A,4,1361,71.86,4.4138,0.0911,1.2242
GD,H1,C,3,1589,71.81,3.5836,0.2093,5.9506
LK,15m,A,6,14051,71.8,3.9051,0.2669,10.6051
NM,15m,A,4,14782,71.79,4.3197,0.3912,20.8177
RI,5m,A,6,36051,71.78,3.9412,0.1491,10.2863
KC,15m,A,3,1459,71.76,4.8082,0.3422,6.0617
CNYRUBF,30m,C,3,3059,71.76,4.097,0.17,3.259
ED,H1,C,3,1542,71.73,4.3255,0.1218,2.2468
GD,5m,A,6,38079,71.73,3.6611,0.0876,10.0486
CNYRUBF,15m,A,6,11837,71.72,3.987,0.1679,9.474
MX,5m,A,6,37803,71.72,3.2078,0.114,38.2465
MC,5m,A,6,38092,71.7,3.205,0.1137,38.2465
VB,15m,A,6,12401,71.68,5.023,0.5043,58.2707
ME,15m,A,4,13912,71.66,4.0998,0.4472,10.1224
DX,H1,A,4,3146,71.65,4.2949,0.4039,13.3262
X5,H1,A,4,67,71.64,4.9579,0.6269,5.0257
X5,H1,A,3,67,71.64,4.9852,0.4848,5.0868
NG,5m,A,4,37716,71.62,2.8025,0.2656,197.5911
SP,30m,A,3,3735,71.59,3.6867,0.8866,37.9325
TN,H1,C,3,573,71.55,4.233,0.464,5.6217
TT,H1,C,3,573,71.55,4.233,0.464,5.6217
Eu,15m,A,6,13268,71.53,3.8995,0.1948,5.5558
MN,30m,A,3,822,71.53,4.1714,0.3096,2.9532
USDRUBF,15m,A,6,13137,71.52,3.9802,0.1608,4.7277
SP,15m,A,3,6094,71.5,3.8424,0.7168,36.2571
SN,H1,C,2,1459,71.49,4.4614,0.5436,11.291
CR,15m,A,4,2864,71.47,3.4245,0.1404,8.1507
BM,30m,A,4,2838,71.42,4.5746,0.5097,6.6834
GL,5m,A,4,35269,71.42,2.2838,0.1078,69.0417
GZ,30m,C,3,3040,71.41,3.1909,0.2773,10.9902
SF,30m,A,3,3580,71.4,4.4984,1.1171,72.1367
BM,5m,A,3,12457,71.4,3.0926,0.1861,12.5482
MG,15m,A,3,14582,71.37,4.3607,0.375,11.6669
GAZPF,15m,A,6,6993,71.37,3.7555,0.2959,7.723
RM,H1,C,3,1641,71.36,4.3814,0.4015,5.3128
NG,15m,C,2,5926,71.33,3.5035,0.3493,45.112
GZ,5m,A,6,38430,71.31,3.1609,0.159,44.9194
GZ,H1,C,3,1404,71.3,3.7837,0.4629,6.8342
IMOEXF,15m,A,6,9718,71.3,3.8291,0.1977,6.4203
YD,5m,A,4,20499,71.29,2.9393,0.1732,33.1491
LK,5m,A,4,41882,71.2,3.3845,0.1231,29.394
NM,H1,C,2,1474,71.17,4.83,0.5634,6.1078
MM,30m,C,2,3233,71.14,3.266,0.3157,14.6911
EURRUBF,H1,C,3,1434,71.13,4.0721,0.2427,2.0272
HS,15m,A,3,15393,71.12,4.6137,0.3548,23.8481
X5,15m,A,4,329,71.12,6.6019,0.6372,6.1416
TN,15m,A,6,5068,71.11,5.3899,0.4257,13.8987
TT,15m,A,6,5068,71.11,5.3899,0.4257,13.8987
RI,15m,A,6,13399,71.1,3.8977,0.2605,8.5923
SR,H1,C,3,1515,71.09,3.7019,0.3386,5.8296
NA,15m,C,2,5850,71.06,3.6875,0.1477,7.9572
SS,15m,A,4,12537,71.05,5.214,0.6548,18.5438
GD,15m,A,6,13619,71.05,3.927,0.1602,13.495
GK,15m,C,2,6289,71.04,3.3052,0.2584,89.6607
YD,15m,A,6,7497,71.03,4.8014,0.4428,7.5908
BM,15m,A,4,5521,71.02,4.3852,0.3975,14.1106
SE,15m,A,3,10834,71.01,5.0138,0.5874,14.527
CC,15m,A,6,6692,71.01,4.0734,0.6396,35.9764
BR,5m,A,6,36916,71.0,3.3442,0.1707,45.8698
NA,15m,A,6,13597,70.99,4.2537,0.2229,6.2917
NR,30m,A,2,1954,70.98,4.0562,0.4389,11.1583
SV,H1,C,3,1636,70.97,3.1685,0.418,8.8082
SF,15m,A,2,6018,70.94,6.0317,2.0828,165.4755
YD,30m,C,3,1789,70.93,3.7072,0.3788,10.4817
GAZPF,15m,C,2,2885,70.92,4.3857,0.2099,3.2343
SBERF,5m,A,4,20917,70.9,3.8567,0.1025,27.4829
Eu,5m,A,6,38122,70.89,3.3925,0.0984,19.2809
PD,H1,C,3,1607,70.88,3.5866,0.5773,13.5857
SE,H1,C,2,1322,70.88,5.5848,0.8266,8.0159
CR,30m,A,4,1837,70.88,3.5468,0.1933,2.6954
MN,15m,A,3,1339,70.87,4.2069,0.2294,4.9298
SN,15m,A,4,14686,70.86,4.478,0.3954,11.2132
TN,5m,A,3,12166,70.85,2.7279,0.1392,39.9161
TT,5m,A,3,12166,70.85,2.7279,0.1392,39.9161
CNYRUBF,15m,C,3,5623,70.85,4.0159,0.1181,4.5916
UC,H1,C,4,1804,70.84,4.3579,0.1165,2.1977
HS,30m,A,4,7162,70.82,4.0608,0.3981,13.412
Si,5m,C,3,15585,70.82,2.928,0.058,17.4662
IMOEXF,5m,A,6,24704,70.81,4.0742,0.1212,5.4718
GK,5m,A,4,31397,70.81,3.4416,0.1787,32.0496
BR,15m,A,6,13476,70.8,4.007,0.3231,12.6674
EURRUBF,30m,C,2,2976,70.8,4.2684,0.1552,2.308
RL,30m,A,4,978,70.76,3.5413,0.3911,4.7852
UC,30m,A,4,6308,70.75,4.5639,0.1041,4.641
GLDRUBF,5m,A,6,34816,70.74,3.7033,0.1111,6.6252
SP,H1,A,4,2316,70.73,3.0338,1.1661,60.3003
LK,H1,C,3,1465,70.72,3.4221,0.3543,8.2932
CR,5m,A,4,6058,70.72,3.9149,0.0854,2.3391
GL,15m,A,6,12486,70.69,4.4781,0.34,9.1219
AF,H1,C,3,1488,70.63,3.555,0.5283,9.1663
PD,5m,A,4,37319,70.61,2.8138,0.1953,32.1327
KC,H1,C,2,187,70.59,5.0042,0.5624,2.9522
ED,15m,C,2,5815,70.58,3.9561,0.0544,2.3844
RM,30m,C,3,3392,70.55,4.0215,0.2711,5.4676
MN,30m,A,4,821,70.52,3.7723,0.3169,3.5288
AL,5m,A,3,35501,70.48,2.6736,0.16,49.4215
RM,15m,A,6,12018,70.48,4.3009,0.2925,6.9866
UC,15m,A,3,10776,70.47,4.8849,0.0856,7.339
VB,15m,C,3,6121,70.46,2.6375,0.232,59.6928
KC,15m,A,4,1459,70.46,4.1904,0.3455,8.3497
SS,H1,C,2,1540,70.45,4.1424,0.7284,12.5138
IMOEXF,H1,C,3,1203,70.41,3.7549,0.29,5.6884
SF,30m,A,4,3579,70.38,4.3167,1.165,68.9986
AF,5m,A,3,34580,70.33,2.8751,0.1823,31.3539
UC,30m,C,2,3447,70.32,4.4824,0.0827,2.5757
GL,30m,C,2,2603,70.3,2.9156,0.2492,18.9892
RI,H1,C,3,1605,70.28,4.0056,0.3796,5.3233
Si,5m,A,8,37124,70.28,3.3016,0.0983,15.2822
VB,H1,C,4,1483,70.26,1.5723,0.2843,428.942
RN,15m,A,6,14638,70.25,3.7765,0.3001,12.5571
OJ,30m,A,4,1605,70.22,3.7935,0.7782,12.7707
PT,30m,C,2,3136,70.22,3.6606,0.3028,8.6213
RL,5m,A,3,3560,70.22,4.0179,0.1625,5.6227
MN,5m,A,3,2461,70.22,4.8255,0.1465,2.4654
RN,H1,C,3,1477,70.21,3.7177,0.421,9.0942
USDRUBF,H1,C,4,1537,70.2,3.7381,0.2386,3.224
CE,15m,A,3,5967,70.2,3.6864,0.2722,23.6411
CNYRUBF,5m,A,6,30800,70.19,4.0834,0.0925,3.8679
GK,15m,A,6,12552,70.19,3.9251,0.3877,178.4746
CE,30m,A,4,3492,70.16,3.7864,0.3651,13.0539
EURRUBF,5m,A,4,34225,70.13,4.3156,0.0875,2.0614
Eu,H1,C,4,1492,70.11,3.4745,0.2673,4.6669
ED,15m,A,6,12970,70.08,3.9263,0.0797,2.2719
DX,30m,A,3,6549,70.07,4.3585,0.3261,12.3988
SBERF,15m,A,6,7225,70.06,3.4676,0.1895,8.9101
SS,5m,A,3,23400,70.06,3.0142,0.2902,39.6675
IMOEXF,30m,C,3,2472,70.06,3.7219,0.2015,4.3246
ME,H1,C,2,1472,70.04,3.602,0.6112,11.9827
GK,H1,C,3,1475,70.03,3.9244,0.5358,8.9807
USDRUBF,30m,C,3,3246,70.02,3.8858,0.1543,3.3115
SV,5m,C,3,17755,70.01,3.2988,0.1196,17.2309
HY,30m,A,4,7522,69.99,4.2079,0.4939,19.9757
NA,H1,C,3,1556,69.99,3.956,0.2775,4.7017
CNYRUBF,5m,C,3,15445,69.98,4.3245,0.0659,2.6576
LK,15m,C,2,5927,69.97,3.4475,0.1676,7.8904
SV,15m,A,6,13697,69.97,3.7811,0.3199,10.8426
RB,15m,A,4,2341,69.93,4.2193,0.0599,1.0054
RN,5m,A,4,41172,69.9,2.964,0.137,36.4829
CNYRUBF,H1,C,4,1604,69.89,3.5044,0.2416,4.8851
USDRUBF,5m,A,6,35771,69.89,3.9589,0.0881,2.9789
AF,30m,C,2,3168,69.89,3.5248,0.3736,10.8332
GZ,15m,C,3,5865,69.87,2.7375,0.1901,14.6424
SP,5m,A,3,11972,69.87,2.8171,0.3456,62.0796
IB,15m,A,6,4494,69.87,3.9559,0.455,13.3968
AL,30m,C,2,3192,69.83,3.7691,0.3597,12.6091
Si,H1,C,4,1617,69.82,3.4773,0.265,3.6954
X5,30m,C,2,106,69.81,2.9615,0.38,6.6147
VB,5m,A,6,34451,69.79,2.423,0.1759,428.4374
NG,15m,A,6,13818,69.77,3.754,0.5239,45.5448
SS,30m,C,2,3261,69.76,3.73,0.55,14.6387
AL,15m,A,6,14231,69.76,4.1326,0.4233,18.0237
AF,15m,A,6,14457,69.74,4.0553,0.4475,16.4342
SE,15m,A,4,10833,69.74,4.5439,0.5921,14.9946
IB,30m,C,2,898,69.71,3.1975,0.3615,5.7939
PD,30m,C,2,3152,69.7,3.3747,0.3786,13.2248
IMOEXF,15m,C,3,4626,69.69,3.7694,0.1397,4.8589
MX,5m,A,8,37802,69.68,2.8993,0.1143,47.9989
SV,5m,A,6,35344,69.66,3.6455,0.1804,26.0616
NA,5m,A,6,39327,69.66,2.7072,0.0968,38.3481
MC,5m,A,8,38091,69.65,2.8964,0.114,47.9989
NA,30m,C,3,3271,69.64,3.7757,0.2074,5.2367
USDRUBF,15m,C,3,6062,69.61,3.8972,0.111,2.2859
SR,5m,A,8,38988,69.6,2.6148,0.1218,62.1515
RL,15m,A,4,1697,69.59,3.7326,0.3018,4.6253
RI,30m,C,3,3354,69.59,3.5734,0.2448,5.3886
HY,15m,A,3,12914,69.58,3.9672,0.3824,12.3632
MX,30m,C,3,3066,69.57,3.6175,0.2085,4.1955
MC,30m,C,3,3097,69.55,3.6138,0.2079,4.1955
YD,15m,C,2,3501,69.52,3.1421,0.2589,19.1153
MM,5m,A,3,37499,69.5,2.5256,0.1409,35.7734
PT,5m,A,4,37761,69.5,2.6884,0.1502,117.1788
SR,15m,C,3,6036,69.5,2.9454,0.1652,14.0925
PD,15m,A,6,14531,69.49,3.8887,0.4494,12.8252
NM,5m,A,3,36220,69.48,2.6108,0.1523,72.6797
OJ,15m,A,3,2683,69.44,3.9715,0.5499,10.5877
LK,30m,C,3,3092,69.44,3.3688,0.2442,6.4133
MM,15m,A,6,14692,69.44,3.9656,0.3787,15.595
GK,30m,C,3,3174,69.41,4.1007,0.389,9.6324
GD,30m,C,3,2974,69.37,3.067,0.1352,8.9865
IMOEXF,5m,C,3,12231,69.36,3.9761,0.084,3.7301
SR,30m,C,3,3096,69.35,3.5917,0.2331,9.8407
RI,5m,A,8,36050,69.32,3.3185,0.1483,13.691
NR,15m,A,2,2396,69.32,3.4698,0.3838,23.8162
OJ,H1,C,2,414,69.32,3.2904,0.7214,11.3173
GLDRUBF,H1,C,4,1419,69.27,3.4213,0.2918,9.6221
PT,15m,A,6,14808,69.27,3.8971,0.3607,12.6588
SV,30m,C,3,3270,69.27,3.2504,0.2809,8.4547
AF,H1,C,4,1594,69.26,3.2323,0.537,16.0632
HS,15m,A,4,15393,69.25,3.9339,0.3504,22.1541
TT,15m,C,2,2712,69.25,2.992,0.2396,14.5215
TN,15m,C,2,2712,69.25,2.992,0.2396,14.5215
ED,H1,C,4,1636,69.25,3.5237,0.1164,3.1622
GLDRUBF,30m,C,3,2562,69.24,3.7517,0.191,2.7813
SP,30m,A,4,3735,69.21,3.1835,0.8853,39.6726
UC,5m,A,3,15593,69.21,2.579,0.0384,67.3817
USDRUBF,5m,C,3,18336,69.21,4.1066,0.0611,2.1989
SV,H1,C,4,1747,69.2,2.7207,0.4016,16.4619
BM,5m,A,4,12456,69.19,2.7709,0.1861,17.0231
NM,H1,C,3,1632,69.18,3.9113,0.5246,9.4098
MG,15m,A,4,14582,69.18,3.8934,0.3714,16.7074
CC,5m,A,6,18184,69.17,2.6614,0.2955,107.9659
VB,30m,C,4,3187,69.16,1.9589,0.2736,432.655
EURRUBF,15m,A,6,14010,69.11,3.4495,0.1531,4.9078
ME,5m,A,3,31557,69.09,2.9637,0.2103,25.6326
CC,15m,C,3,3284,69.09,2.4144,0.325,74.2118
SV,15m,C,3,6513,69.08,3.4025,0.2046,10.2317
SN,H1,C,3,1594,69.07,3.4643,0.5038,8.5264
AL,H1,C,3,1539,69.07,3.8593,0.5222,8.5694
KC,5m,A,3,3213,69.06,3.6452,0.1785,3.9546
GD,H1,C,4,1713,69.06,2.9078,0.1981,9.1216
KC,30m,A,4,801,69.04,3.9624,0.42,3.7627
NM,15m,A,6,14782,69.02,3.472,0.3839,16.6663
W4,H1,A,2,2252,69.01,4.911,0.6819,18.1797
RM,H1,C,4,1732,69.0,3.58,0.3954,6.852
TT,5m,A,4,12166,69.0,2.5547,0.1381,49.405
TN,5m,A,4,12166,69.0,2.5547,0.1381,49.405
LK,H1,C,4,1571,69.0,2.8838,0.3423,11.1856
Si,30m,C,3,3289,68.99,3.4554,0.1642,7.4889
MX,H1,C,3,1515,68.98,3.6498,0.2993,3.9635
EURRUBF,15m,C,2,6225,68.98,3.9282,0.1036,1.8437
MC,H1,C,3,1527,68.96,3.6592,0.2993,3.9635
RM,5m,A,6,26462,68.96,3.7871,0.1677,10.6262
DX,30m,A,4,6548,68.95,4.1283,0.3262,6.2093
SS,H1,C,3,1670,68.92,4.0544,0.7713,8.9061
NG,H1,C,3,1598,68.9,3.3368,0.6509,19.2432
GZ,5m,A,8,38429,68.89,2.8013,0.1593,75.9141
UC,15m,A,4,10776,68.88,4.387,0.0853,6.4991
ME,15m,A,6,13910,68.86,3.3052,0.4397,12.3308
CNYRUBF,30m,C,4,3269,68.83,3.2828,0.1587,5.2294
BM,H1,C,2,635,68.82,4.4888,0.5731,8.1771
IB,15m,C,2,2023,68.81,3.3999,0.3029,16.6299
MG,H1,C,2,1538,68.79,3.6282,0.4744,9.7205
MN,5m,A,4,2461,68.79,4.0762,0.1469,4.3825
SS,15m,A,6,12537,68.78,4.1493,0.6413,18.3059
SP,15m,A,4,6094,68.76,3.3085,0.6874,51.6034
PT,H1,C,3,1599,68.73,2.831,0.3757,22.4508
TT,30m,C,3,1292,68.73,3.1373,0.2717,9.4713
Si,15m,C,3,5714,68.73,3.1111,0.1123,8.2717
TN,30m,C,3,1292,68.73,3.1373,0.2717,9.4713
W4,H1,A,3,2252,68.69,4.4707,0.7141,15.1313
CE,15m,A,4,5966,68.69,3.6311,0.2849,12.0583
MM,H1,C,3,1526,68.68,3.5124,0.4693,15.4468
RB,5m,A,3,3824,68.67,3.6011,0.027,1.3431
VI,H1,A,2,702,68.66,3.0881,1.1129,27.7879
RN,H1,C,4,1579,68.65,2.9969,0.384,8.6867
IB,5m,A,6,13408,68.6,2.5035,0.1972,21.2388
GD,5m,A,8,38079,68.59,3.1012,0.0867,14.4484
SF,15m,A,3,6018,68.58,5.3818,1.8182,235.2419
NR,H1,A,3,1444,68.56,3.3505,0.4809,10.792
Eu,5m,A,8,38122,68.56,2.9908,0.0992,35.2766
IMOEXF,5m,A,8,24703,68.56,3.4122,0.1207,7.568
ED,5m,A,6,34044,68.55,3.2687,0.0415,3.5904
RM,15m,C,3,6382,68.54,4.057,0.2008,4.4303
SBERF,15m,C,2,3169,68.54,3.6178,0.1246,9.2537
GAZPF,30m,C,3,1595,68.53,3.5682,0.2973,3.9832
AL,5m,A,4,35501,68.52,2.4298,0.1571,61.5232
HY,H1,C,2,1677,68.52,3.9312,0.4976,8.4419
OJ,15m,A,4,2683,68.51,3.3477,0.5376,13.8948
GL,H1,C,4,1425,68.49,2.9094,0.3435,12.9033
RI,15m,C,3,6120,68.48,3.4623,0.1685,5.9461
PD,H1,C,4,1729,68.48,3.1245,0.5443,17.0365
MN,15m,A,4,1338,68.46,3.3333,0.2166,7.0988
CE,5m,A,3,11266,68.46,2.1162,0.1114,27.4508
CNYRUBF,5m,A,8,30800,68.46,3.4439,0.0929,6.1026
LK,5m,A,6,41880,68.43,2.8521,0.1231,20.9762
RI,5m,C,3,16086,68.43,3.004,0.0894,59.6075
GLDRUBF,5m,A,8,34815,68.42,3.171,0.1124,7.5747
KC,30m,C,2,399,68.42,3.9398,0.3143,2.8247
SS,5m,A,4,23400,68.41,2.7761,0.2913,34.7598
DX,15m,A,2,10646,68.38,3.7244,0.2479,14.4493
X5,30m,C,3,117,68.38,4.5951,0.5327,6.8656
GAZPF,5m,A,6,20755,68.35,3.3174,0.1609,7.5877
GLDRUBF,15m,C,3,5183,68.34,3.3591,0.1258,3.1246
CR,15m,A,6,2864,68.33,2.8575,0.1402,7.8514
RI,H1,C,4,1707,68.31,3.1506,0.3554,6.8924
GL,5m,A,6,35268,68.31,2.1407,0.1104,57.2374
BR,5m,A,8,36916,68.28,2.9563,0.1706,24.5615
NG,5m,A,6,37716,68.28,2.4288,0.2527,244.5237
SN,5m,A,3,35071,68.27,2.362,0.1499,100.9174
SN,15m,A,6,14686,68.26,3.5912,0.387,10.5099
AF,5m,A,4,34580,68.24,2.589,0.1813,41.0259
EURRUBF,H1,C,4,1513,68.21,3.3287,0.2271,3.2027
SR,5m,C,3,17423,68.17,1.5609,0.0441,375.6416
NM,30m,C,2,3283,68.17,3.4798,0.3467,13.1913
GAZPF,15m,C,3,3198,68.17,3.1156,0.1837,3.6104
BM,15m,A,6,5520,68.15,3.6775,0.4067,17.4909
RL,5m,A,4,3559,68.14,3.3174,0.1601,6.3417
SP,5m,A,4,11972,68.04,2.6538,0.3508,90.1573
OJ,5m,A,3,4782,68.03,3.8177,0.3668,7.9699
YD,5m,A,6,20499,68.03,2.6237,0.1735,33.7332
ED,30m,C,3,3119,68.0,3.5153,0.0773,1.6045
BR,15m,C,3,5994,67.97,3.2181,0.1979,24.119
ME,H1,C,3,1623,67.96,3.0357,0.5583,15.2319
SN,30m,C,2,3363,67.95,2.9678,0.3105,11.4194
MX,15m,C,3,5912,67.91,3.1392,0.1481,8.592
GZ,30m,C,4,3278,67.88,2.7376,0.2566,12.241
X5,5m,A,3,650,67.85,1.2809,0.0724,34.0406
MC,15m,C,3,5970,67.84,3.1218,0.147,8.592
TN,H1,C,4,625,67.84,3.0676,0.3782,8.4002
TT,H1,C,4,625,67.84,3.0676,0.3782,8.4002
ME,5m,A,4,31557,67.8,2.7324,0.2144,25.813
MM,30m,C,3,3550,67.8,3.0932,0.3106,13.9709
GZ,5m,C,3,17430,67.79,1.846,0.0709,192.2463
NG,30m,C,3,3377,67.78,3.1877,0.4362,36.9972
USDRUBF,30m,C,4,3463,67.77,3.0923,0.1432,3.3951
VB,5m,C,3,17516,67.74,1.2072,0.0323,444.3777
GZ,H1,C,4,1516,67.74,2.9892,0.4144,7.6935
VB,5m,A,8,34451,67.73,2.2382,0.1753,430.4989
W4,H1,A,4,2252,67.72,4.7948,0.7416,17.5923
SE,H1,C,3,1428,67.72,4.0639,0.7699,11.9013
GK,5m,A,6,31397,67.7,2.9664,0.1823,28.4782
SBERF,30m,C,3,1724,67.69,3.3194,0.1857,8.841
GD,15m,C,3,5735,67.69,3.188,0.0936,3.5411
SV,5m,A,8,35344,67.67,3.2066,0.1828,25.8537
SBERF,H1,C,4,863,67.67,2.8334,0.2594,6.9431
PD,5m,A,6,37318,67.67,2.5031,0.1983,40.6706
KC,5m,A,4,3213,67.63,3.2944,0.1793,4.1694
SS,H1,C,4,1764,67.63,3.7019,0.7498,8.2844
YD,15m,C,3,3827,67.62,3.1627,0.2611,12.7284
SBERF,5m,A,6,20917,67.62,3.0684,0.1023,35.6434
KC,H1,C,3,213,67.61,3.8528,0.5132,3.7232
USDRUBF,5m,A,8,35770,67.58,3.3306,0.0885,4.1764
RB,H1,C,2,367,67.57,4.3561,0.1035,1.5156
CC,5m,A,8,18184,67.55,2.2797,0.2729,248.0174
KC,H1,C,4,231,67.53,3.2684,0.5094,5.1733
IMOEXF,H1,C,4,1275,67.53,2.8299,0.2656,6.2229
GK,H1,C,4,1561,67.52,3.5241,0.5255,7.2535
HY,15m,A,4,12914,67.51,3.5592,0.3755,25.786
BR,5m,C,3,16374,67.49,2.0012,0.0819,208.5049
SE,5m,A,3,18198,67.49,2.8311,0.3011,83.5523
MM,5m,A,4,37498,67.48,2.3603,0.1419,73.8629
Eu,30m,C,3,2976,67.47,3.2309,0.1733,4.8035
RB,5m,A,4,3824,67.47,3.2681,0.0274,2.133
SN,H1,C,4,1710,67.43,3.0666,0.4791,10.3493
GAZPF,H1,C,4,801,67.42,3.0756,0.4378,7.7836
CNYRUBF,5m,C,4,16477,67.41,3.4973,0.063,3.0344
NA,H1,C,4,1694,67.41,3.1693,0.2587,4.9277
NA,5m,A,8,39327,67.37,2.4194,0.0947,43.9132
CR,5m,A,6,6058,67.37,3.045,0.0834,2.7395
MC,H1,C,4,1636,67.36,3.0385,0.2904,5.7141
DX,15m,A,3,10646,67.36,3.6365,0.2571,13.1343
GK,15m,C,3,6843,67.35,3.0179,0.2516,89.9938
GLDRUBF,30m,C,4,2775,67.35,3.0499,0.1807,4.141
NM,5m,A,4,36220,67.35,2.4519,0.154,50.3463
MX,H1,C,4,1622,67.32,3.0385,0.2913,5.7141
NA,15m,C,3,6526,67.3,3.2918,0.1412,9.37
RB,15m,A,6,2341,67.28,3.426,0.0614,1.0984
CH,15m,A,6,55,67.27,2.8787,0.5579,5.8312
AL,H1,C,4,1659,67.27,3.4191,0.5193,8.3399
CNYRUBF,15m,C,4,6021,67.25,3.0158,0.1072,7.203
GK,30m,C,4,3374,67.22,3.7567,0.38,5.6601
EURRUBF,5m,A,6,34225,67.2,3.3141,0.0871,2.8227
NR,15m,A,3,2395,67.18,3.1281,0.3874,13.3172
X5,15m,A,6,329,67.17,5.5047,0.688,12.2954
MG,H1,C,3,1681,67.16,3.0374,0.4457,9.9914
HS,15m,A,6,15392,67.16,3.3981,0.3431,17.9851
SV,5m,C,4,19019,67.14,2.6556,0.1069,26.9675
CC,30m,C,3,1591,67.13,2.4216,0.3852,35.9951
W4,30m,A,2,2727,67.11,3.675,0.5492,26.3976
TN,30m,C,4,1374,67.1,3.2449,0.3044,9.0589
TT,30m,C,4,1374,67.1,3.2449,0.3044,9.0589
NR,30m,A,3,1953,67.08,3.2941,0.4359,10.6098
Si,5m,C,4,17003,67.06,2.3758,0.0526,33.3183
GD,5m,C,3,15904,67.05,2.4784,0.0457,26.5662
GL,30m,C,3,2869,67.03,2.8489,0.2546,12.1899
UC,5m,A,4,15593,66.97,2.4065,0.0381,47.731
RN,30m,C,3,3321,66.97,3.1994,0.2574,7.9948
SV,30m,C,4,3525,66.95,2.6649,0.2593,8.4479
VI,H1,A,4,702,66.95,2.631,1.1093,38.3648
SE,15m,A,6,10833,66.93,3.7031,0.581,25.3337
GL,15m,C,2,5450,66.92,2.284,0.1559,16.6711
SR,30m,C,4,3312,66.91,2.9773,0.2147,8.2561
RM,30m,C,4,3623,66.88,3.4231,0.2619,8.3276
Si,30m,C,4,3539,66.88,2.7184,0.1466,6.2847
YD,30m,C,4,1937,66.86,3.2053,0.3552,11.8487
RM,5m,A,8,26462,66.84,3.2011,0.165,16.3381
SF,15m,A,4,6018,66.83,4.9721,1.9807,272.4708
HY,H1,C,3,1818,66.83,3.2511,0.478,11.5911
UC,30m,C,3,3694,66.81,3.727,0.0787,3.4139
VI,30m,A,2,723,66.8,2.5103,0.8744,31.0457
BR,30m,C,3,2943,66.77,2.8982,0.2584,11.2814
IMOEXF,15m,C,4,4962,66.77,3.0333,0.1291,4.9593
RM,5m,C,3,15133,66.77,3.267,0.1103,21.1399
YD,H1,C,4,863,66.74,3.4098,0.5187,6.6255
TN,5m,A,6,12166,66.74,2.4561,0.1444,43.6176
TT,5m,A,6,12166,66.74,2.4561,0.1444,43.6176
IMOEXF,30m,C,4,2657,66.73,3.0963,0.1877,7.0462
MM,H1,C,4,1626,66.73,2.901,0.4304,16.2592
RI,30m,C,4,3637,66.73,2.9266,0.2262,8.2011
MN,5m,A,6,2461,66.72,3.4016,0.1521,4.7141
ED,15m,C,3,6389,66.69,3.0896,0.0489,1.8077
AF,30m,C,3,3482,66.69,2.88,0.3309,18.1266
IMOEXF,5m,C,4,13031,66.69,3.1831,0.0781,4.4364
GAZPF,30m,C,4,1735,66.69,2.9773,0.2788,6.6631
RN,15m,C,2,6524,66.68,2.7087,0.1588,19.9714
NM,H1,C,4,1749,66.67,3.1505,0.4859,11.4684
FF,H1,A,3,72,66.67,2.0001,0.6039,16.8912
KC,15m,A,6,1457,66.64,3.027,0.3144,12.8895
RN,5m,A,6,41171,66.63,2.4755,0.133,27.0144
SR,15m,C,4,6526,66.63,2.6931,0.1586,20.9171
TT,15m,C,3,2894,66.62,2.7151,0.2249,14.8166
CC,H1,C,3,725,66.62,2.5947,0.5824,34.8549
TN,15m,C,3,2894,66.62,2.7151,0.2249,14.8166
VB,15m,C,4,6535,66.58,2.5459,0.2366,69.5301
CE,5m,A,4,11266,66.57,2.0174,0.1124,24.4451
SP,15m,A,6,6094,66.57,2.8696,0.663,60.5006
CE,15m,A,6,5964,66.55,3.0889,0.2837,11.351
NA,30m,C,4,3512,66.54,3.2254,0.2031,5.51
ED,30m,C,4,3345,66.52,3.2853,0.0779,1.7057
USDRUBF,5m,C,4,19539,66.51,3.3303,0.058,3.2805
MC,30m,C,4,3374,66.51,3.1095,0.199,6.98
MG,15m,A,6,14582,66.51,3.2354,0.3688,15.7798
AL,30m,C,3,3491,66.49,3.0975,0.3333,12.422
