ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
TN,H1,B,2,934,51.07,1.1152,0.0266,33.512
OJ,30m,B,2,1195,51.05,1.1575,0.0624,41.0871
LK,H1,B,3,2527,51.05,1.0431,0.0111,54.9773
GL,15m,B,4,10189,51.03,1.4088,0.0762,40.7126
NM,30m,B,3,5614,51.03,1.3356,0.0872,29.4226
RL,15m,B,4,1307,51.03,1.0979,0.0198,32.5852
PD,H1,B,3,2536,51.03,1.0961,0.038,87.5216
AL,30m,B,3,5325,51.02,1.3274,0.0867,52.5007
HS,H1,B,3,2784,51.01,1.1199,0.0332,57.0657
VI,5m,A,8,600,51.0,1.1596,0.1716,72.8967
NR,5m,C,4,1469,50.99,1.0545,0.0139,54.8802
GAZPF,5m,B,4,17310,50.99,1.0655,0.0064,46.9582
SN,H1,B,4,2523,50.97,1.0038,0.0015,94.5673
BM,H1,B,4,1095,50.96,1.073,0.0297,62.9166
KC,H1,B,4,316,50.95,1.5732,0.1753,11.0588
TN,30m,B,4,1918,50.94,1.148,0.034,40.7681
TT,30m,B,4,1918,50.94,1.148,0.034,40.7681
AF,H1,B,4,2365,50.91,1.1207,0.0503,82.3666
IB,5m,B,4,11144,50.89,2.0624,0.1452,26.7252
Eu,30m,B,4,5427,50.88,0.951,-0.0075,62.3626
NG,5m,B,6,30025,50.87,1.7274,0.1527,63.1738
BM,H1,B,3,1095,50.87,1.1205,0.042,39.667
SF,5m,C,8,5902,50.86,0.6233,-0.9773,5889.343
VB,15m,B,2,9495,50.84,1.7375,0.132,48.0359
GAZPF,30m,B,4,2606,50.84,0.9904,-0.0024,62.1939
TT,30m,B,2,1918,50.83,1.307,0.054,24.8709
TN,30m,B,2,1918,50.83,1.307,0.054,24.8709
SF,H1,B,4,1383,50.83,1.1267,0.0878,87.0349
VI,15m,C,4,490,50.82,1.3104,0.2398,36.5629
SR,15m,B,3,10455,50.82,1.1413,0.0182,39.6323
MX,15m,B,2,10450,50.81,1.0884,0.0085,81.0247
SN,H1,B,3,2523,50.81,1.0261,0.0093,50.4444
SF,5m,C,4,5257,50.79,0.5036,-1.3319,7101.6637
SR,15m,B,6,10455,50.79,1.0981,0.0167,74.9809
X5,5m,B,8,579,50.78,4.1651,0.4344,12.2943
MC,15m,B,2,10547,50.78,1.09,0.0086,81.0247
AL,30m,B,4,5325,50.78,1.2552,0.0758,65.502
NM,30m,B,2,5614,50.78,1.2384,0.0564,48.6191
CH,H1,C,4,195,50.77,1.1816,0.133,24.0053
GAZPF,H1,B,3,1229,50.77,0.9085,-0.0285,85.0963
GAZPF,5m,B,8,17309,50.77,1.0627,0.0087,45.5168
IB,30m,B,4,1663,50.75,1.2224,0.0736,33.8524
GZ,5m,B,4,32044,50.73,1.522,0.0481,36.1065
SBERF,15m,B,2,5793,50.73,1.0187,0.0016,18.0492
NG,5m,B,4,30026,50.73,1.9703,0.1661,56.1967
