ticker,entry_time,exit_time,entry,exit,contracts,pnl,commission,net_pnl
IB,2025-09-18 09:45:00,2025-09-18 10:45:00,68.78,68.82,1,4,2,2
IB,2025-09-23 14:30:00,2025-09-23 15:30:00,66.66,66.67,1,1,2,-1
IB,2025-09-23 14:35:00,2025-09-23 15:35:00,66.58,66.72,1,14,2,12
IB,2025-09-24 11:05:00,2025-09-24 12:05:00,66.46,66.52,1,6,2,4
CC,2025-09-29 18:35:00,2025-09-29 19:05:00,616.3,617.0,1,70,2,68
CC,2025-10-03 17:20:00,2025-10-03 17:35:00,550.0,547.3,1,-270,2,-272
CC,2025-10-06 09:10:00,2025-10-06 09:25:00,544.6,547.7,1,310,2,308
CC,2025-10-06 19:25:00,2025-10-06 19:40:00,551.4,551.0,1,-40,2,-42
CC,2025-10-07 16:10:00,2025-10-07 16:25:00,537.2,536.0,1,-120,2,-122
CC,2025-10-09 09:55:00,2025-10-09 10:10:00,518.4,518.9,1,50,2,48
IB,2025-10-10 13:15:00,2025-10-10 14:15:00,71.03,70.6,1,-43,2,-45
IB,2025-10-10 15:35:00,2025-10-10 16:50:00,69.08,69.0,1,-8,2,-10
NR,2025-10-13 18:05:00,2025-10-14 10:05:00,15400.0,15270.0,1,-13000,2,-13002
CC,2025-10-16 09:10:00,2025-10-16 09:25:00,491.9,494.0,1,210,2,208
CC,2025-10-17 18:00:00,2025-10-17 18:15:00,501.9,501.8,1,-10,2,-12
NR,2025-10-20 09:10:00,2025-10-20 12:10:00,15130.0,15135.0,1,500,2,498
IB,2025-10-23 13:10:00,2025-10-23 14:10:00,63.68,63.74,1,6,2,4
NR,2025-10-27 09:25:00,2025-10-27 12:40:00,15330.0,15320.0,1,-1000,2,-1002
IB,2025-10-27 09:35:00,2025-10-27 10:35:00,66.94,67.15,1,21,2,19
CC,2025-11-03 15:00:00,2025-11-03 15:15:00,530.2,532.2,1,200,2,198
CC,2025-11-10 12:10:00,2025-11-10 12:25:00,505.4,508.6,1,320,2,318
NR,2025-11-10 13:30:00,2025-11-10 16:15:00,15070.0,15085.0,1,1500,2,1498
CC,2025-11-12 13:35:00,2025-11-12 13:50:00,487.7,488.3,1,60,2,58
NR,2025-11-20 16:20:00,2025-11-20 18:25:00,14380.0,14355.0,1,-2500,2,-2502
CC,2025-11-24 20:00:00,2025-11-24 20:15:00,407.2,407.8,1,60,2,58
NR,2025-11-29 14:25:00,2025-12-02 10:40:00,14775.0,15370.0,1,59500,2,59498
CC,2025-11-29 15:35:00,2025-11-29 15:55:00,429.6,429.0,2,-120,4,-124
IB,2025-12-03 18:05:00,2025-12-03 19:20:00,53.46,53.12,2,-68,4,-72
CC,2025-12-10 15:30:00,2025-12-10 15:45:00,487.1,491.9,2,960,4,956
IB,2025-12-16 13:35:00,2025-12-16 14:40:00,51.7,51.67,2,-6,4,-10
IB,2025-12-16 13:40:00,2025-12-16 14:45:00,51.74,51.78,2,8,4,4
NR,2025-12-23 13:20:00,2025-12-23 13:50:00,15850.0,15970.0,2,24000,4,23996
IB,2025-12-25 13:45:00,2025-12-25 14:45:00,51.37,51.36,3,-3,6,-9
IB,2025-12-29 09:25:00,2025-12-29 10:25:00,52.24,51.55,3,-207,6,-213
NR,2025-12-29 14:20:00,2025-12-29 14:50:00,16100.0,16085.0,3,-4500,6,-4506
NR,2025-12-29 14:30:00,2025-12-29 15:00:00,16125.0,16095.0,3,-9000,6,-9006
IB,2026-01-06 15:00:00,2026-01-06 16:15:00,54.68,54.4,3,-84,6,-90
IB,2026-01-08 12:20:00,2026-01-08 13:25:00,52.42,52.5,3,24,6,18
CC,2026-01-09 16:10:00,2026-01-09 16:15:00,464.3,457.0,3,-2190,6,-2196
NR,2026-01-12 14:05:00,2026-01-12 14:15:00,17925.0,17660.0,3,-79500,6,-79506
IB,2026-01-12 16:10:00,2026-01-12 17:10:00,53.55,53.6,1,5,2,3
NR,2026-01-13 09:30:00,2026-01-13 10:20:00,17950.0,17905.0,1,-4500,2,-4502
IB,2026-01-13 11:55:00,2026-01-13 12:55:00,53.58,53.57,1,-1,2,-3
NR,2026-01-14 14:00:00,2026-01-14 14:30:00,18805.0,18805.0,1,0,2,-2
NR,2026-01-14 14:05:00,2026-01-14 14:35:00,18870.0,18785.0,1,-8500,2,-8502
CC,2026-01-15 09:10:00,2026-01-15 09:25:00,424.6,423.5,1,-110,2,-112
CC,2026-01-15 14:40:00,2026-01-15 14:55:00,417.3,415.0,1,-230,2,-232
CC,2026-01-21 09:35:00,2026-01-21 09:40:00,371.9,365.9,1,-600,2,-602
CC,2026-01-22 20:40:00,2026-01-23 09:10:00,359.9,357.0,1,-290,2,-292
NR,2026-01-23 16:45:00,2026-01-23 17:25:00,18720.0,18740.0,1,2000,2,1998
NR,2026-01-26 13:05:00,2026-01-26 13:35:00,18820.0,18665.0,1,-15500,2,-15502
NR,2026-01-30 09:15:00,2026-01-30 09:45:00,17900.0,17735.0,1,-16500,2,-16502
NR,2026-01-30 18:05:00,2026-01-30 18:25:00,17625.0,17210.0,1,-41500,2,-41502
CC,2026-02-02 09:10:00,2026-02-02 09:25:00,334.7,334.1,1,-60,2,-62
CC,2026-02-02 09:15:00,2026-02-02 09:30:00,333.8,330.1,1,-370,2,-372
CC,2026-02-02 09:35:00,2026-02-02 09:40:00,330.4,327.1,1,-330,2,-332
NR,2026-02-03 18:25:00,2026-02-03 20:10:00,17430.0,17485.0,1,5500,2,5498
NR,2026-02-04 14:35:00,2026-02-04 15:05:00,17380.0,17395.0,1,1500,2,1498
IB,2026-02-05 14:10:00,2026-02-05 15:10:00,40.91,40.0,1,-91,2,-93
CC,2026-02-06 09:10:00,2026-02-06 09:25:00,337.6,336.8,1,-80,2,-82
CC,2026-02-06 09:35:00,2026-02-06 09:45:00,335.0,331.4,1,-360,2,-362
IB,2026-02-09 11:25:00,2026-02-09 12:25:00,39.97,40.05,1,8,2,6
NR,2026-02-10 15:00:00,2026-02-10 15:30:00,17340.0,17605.0,1,26500,2,26498
NR,2026-02-11 18:20:00,2026-02-11 19:10:00,18025.0,18100.0,1,7500,2,7498
NR,2026-02-12 15:00:00,2026-02-12 15:35:00,17495.0,17385.0,1,-11000,2,-11002
IB,2026-02-13 14:50:00,2026-02-13 16:05:00,39.32,40.01,1,69,2,67
NR,2026-02-13 19:05:00,2026-02-13 20:15:00,17060.0,17150.0,1,9000,2,8998
IB,2026-02-16 18:45:00,2026-02-16 20:00:00,39.46,39.43,1,-3,2,-5
CC,2026-02-18 09:40:00,2026-02-18 09:55:00,271.1,268.5,1,-260,2,-262
CC,2026-02-20 13:10:00,2026-02-20 13:25:00,245.3,245.0,1,-30,2,-32
IB,2026-02-23 13:00:00,2026-02-23 14:00:00,38.36,40.17,1,181,2,179
IB,2026-02-23 13:05:00,2026-02-23 13:20:00,40.23,38.32,1,-191,2,-193
IB,2026-02-24 16:10:00,2026-02-24 16:20:00,38.82,37.14,1,-168,2,-170
IB,2026-02-26 09:20:00,2026-02-26 10:20:00,39.5,39.59,1,9,2,7
NR,2026-02-28 13:20:00,2026-03-02 09:05:00,18005.0,17620.0,1,-38500,2,-38502
NR,2026-03-02 13:00:00,2026-03-02 13:05:00,18000.0,17485.0,1,-51500,2,-51502
NR,2026-03-02 16:35:00,2026-03-02 16:40:00,17670.0,17145.0,1,-52500,2,-52502
NR,2026-03-03 09:35:00,2026-03-03 10:10:00,17020.0,17085.0,1,6500,2,6498
