BR: 102870 M1 bars
CR: 101943 M1 bars
GD: 102880 M1 bars
RN: 66364 M1 bars
Si: 101950 M1 bars
MM: 89294 M1 bars
GZ: 101269 M1 bars
NG: 102970 M1 bars

=== BR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
 15%      -7.0%   14.08%   0.70   46.7%    60 ✅

=== Si 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      +0.9%    6.77%   1.07   51.4%   138 ✅
  2%      +0.9%    6.77%   1.07   51.4%   138 ✅
  3%      +0.9%    6.77%   1.07   51.4%   138 ✅
  4%      +0.9%    6.77%   1.07   51.4%   138 ✅
  5%      +0.9%    6.77%   1.07   51.4%   138 ✅
  7%      +1.8%   12.62%   1.07   51.4%   138 ✅
 10%      +2.8%   17.70%   1.07   51.4%   138 ✅
 15%      +3.1%   26.62%   1.05   51.4%   138

=== Si 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -5.4%    6.28%   0.66   43.8%   178 ✅
  2%      -5.4%    6.28%   0.66   43.8%   178 ✅
  3%      -5.4%    6.28%   0.66   43.8%   178 ✅
  4%      -5.4%    6.28%   0.66   43.8%   178 ✅
  5%      -5.4%    6.28%   0.66   43.8%   178 ✅
  7%      -9.9%   11.47%   0.65   43.8%   178 ✅
 10%     -12.4%   14.76%   0.66   43.8%   178 ✅
 15%     -20.2%   22.98%   0.66   43.8%   178

=== Si 15мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -3.9%    4.82%   0.74   48.5%   171 ✅
  2%      -3.9%    4.82%   0.74   48.5%   171 ✅
  3%      -3.9%    4.82%   0.74   48.5%   171 ✅
  4%      -3.9%    4.82%   0.74   48.5%   171 ✅
  5%      -3.9%    4.82%   0.74   48.5%   171 ✅
  7%      -7.9%    9.39%   0.74   48.5%   171 ✅
 10%      -9.6%   11.85%   0.72   48.5%   171 ✅
 15%     -16.0%   18.86%   0.73   48.5%   171 ✅

=== MM 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +10.3%    1.94%   1.91   54.5%   154 ✅
  2%     +27.8%    5.31%   1.91   54.5%   154 ✅
  3%     +47.7%    8.03%   1.86   54.5%   154 ✅
  4%     +69.6%   10.47%   1.85   54.5%   154 ✅
  5%     +94.7%   13.14%   1.82   54.5%   154 ✅
  7%    +158.7%   18.31%   1.79   54.5%   154 ✅
 10%    +275.8%   25.65%   1.72   54.5%   154
 15%    +586.9%   36.52%   1.63   54.5%   154

=== MM 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +14.3%    2.40%   2.02   54.0%   211 ✅
  2%     +39.1%    6.55%   1.99   54.0%   211 ✅
  3%     +73.6%    9.81%   2.05   54.0%   211 ✅
  4%    +109.6%   12.87%   2.05   54.0%   211 ✅
  5%    +153.9%   16.14%   2.05   54.0%   211 ✅
  7%    +273.4%   22.26%   2.08   54.0%   211
 10%    +536.8%   30.64%   2.10   54.0%   211
 15%   +1396.4%   43.00%   2.11   54.0%   211

=== MM 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +10.7%    2.78%   1.61   54.9%   233 ✅
  2%     +29.3%    7.21%   1.56   54.9%   233 ✅
  3%     +48.1%   11.09%   1.54   54.9%   233 ✅
