entry_time,session,dow,hour,month,adx,atr_pct,atr_percentile,di_spread,close,divergence,dir,ret_pct,pnl_net,bars_held,reason,entry_px,exit_px
2026-04-17 20:30:00+08:00,close,4,20.5,4,18.28,0.2138,6.0,-0.14,87.2,-2.3566,LONG,4.3348623853211015,2489.886455584059,10,time_stop,87.2,90.98
2026-04-20 09:35:00+08:00,open,0,9.58,4,53.63,0.5111,58.0,46.42,90.98,-4.3433,LONG,-0.5056056276104726,-298.9408265520136,10,time_stop,90.98,90.52
2026-04-20 10:25:00+08:00,open,0,10.42,4,25.82,0.3425,19.0,6.63,90.52,-3.0875,LONG,0.41979673000442963,243.91801964606123,10,time_stop,90.52,90.9
2026-04-20 11:15:00+08:00,open,0,11.25,4,15.17,0.2546,16.0,4.43,90.9,-2.357,LONG,-0.3520352035203601,-208.65247929680189,10,time_stop,90.9,90.58
2026-04-20 13:10:00+08:00,mid,0,13.17,4,32.54,0.3644,57.0,-29.71,89.98,-2.0113,LONG,0.022227161591460345,11.024648513133222,10,time_stop,89.98,90.0
2026-04-20 14:00:00+08:00,mid,0,14.0,4,31.36,0.5254,93.0,6.28,90.0,-2.8357,LONG,0.9555555555555549,557.9881016330547,10,time_stop,90.0,90.86
2026-04-20 14:50:00+08:00,mid,0,14.83,4,30.49,0.4001,64.0,37.75,90.86,-4.7405,LONG,0.04402377283733904,23.922254032877095,10,time_stop,90.86,90.9
2026-04-20 15:40:00+08:00,mid,0,15.67,4,38.43,0.4361,74.0,15.05,90.9,-4.0906,LONG,-0.09900990099010276,-60.311248675930486,10,time_stop,90.9,90.81
2026-04-20 16:30:00+08:00,mid,0,16.5,4,25.07,0.2777,20.0,-3.94,90.81,-4.287,LONG,0.29732408325073895,173.01745947972861,10,time_stop,90.81,91.08
2026-04-20 17:20:00+08:00,close,0,17.33,4,17.3,0.2125,4.0,14.68,91.08,-2.6202,LONG,-0.2964426877470312,-176.755081822397,10,time_stop,91.08,90.81
2026-04-20 18:10:00+08:00,close,0,18.17,4,17.61,0.236,17.0,3.1,90.81,-3.3145,LONG,-0.12113203391696888,-73.30114568868599,10,time_stop,90.81,90.7
2026-04-20 19:00:00+08:00,close,0,19.0,4,12.85,0.2079,3.0,0.13,90.7,-3.3958,LONG,-0.1653803748621893,-99.2861402772924,10,time_stop,90.7,90.55
2026-04-20 19:50:00+08:00,close,0,19.83,4,27.86,0.1057,1.0,-19.81,90.55,-2.1214,LONG,-0.033130866924352444,-21.47301261762479,10,time_stop,90.55,90.52
2026-04-20 20:40:00+08:00,close,0,20.67,4,30.11,0.1318,14.0,-13.88,90.52,-2.1907,LONG,0.22094564737074993,127.83938704791711,10,time_stop,90.52,90.72
2026-04-21 09:45:00+08:00,open,1,9.75,4,24.78,0.226,43.0,7.45,90.72,2.4009,SHORT,0.5731922398589021,335.20455975675907,10,time_stop,90.72,90.2
2026-04-21 11:35:00+08:00,open,1,11.58,4,28.19,0.2545,76.0,5.04,90.66,-2.0337,LONG,0.4412089124200371,258.29926561345525,10,time_stop,90.66,91.06
2026-04-21 12:25:00+08:00,mid,1,12.42,4,47.46,0.1867,22.0,21.84,91.06,-4.8487,LONG,0.17570832418185436,101.88926542340306,10,time_stop,91.06,91.22
2026-04-21 13:55:00+08:00,mid,1,13.92,4,21.27,0.2362,68.0,-6.74,91.02,2.119,SHORT,-1.197539002417055,-710.6667311615039,10,time_stop,91.02,92.11
2026-04-21 14:45:00+08:00,mid,1,14.75,4,46.68,0.235,63.0,40.54,92.11,-2.2199,LONG,1.4764954945174242,866.4981180508955,10,time_stop,92.11,93.47
