mode,ticker,variant,W,T,hold,trades,wr,total_ret_pct,max_dd_pct,calmar,avg_win,avg_loss,wr_open,wr_mid,wr_close
B_post_recovery,AL,1,10,1.0,5,14359,47.68,-411.4019,445.1169,-0.9243,0.3697,-0.3917,47.6821682464455,47.93388429752066,25.0
B_post_recovery,AL,1,10,1.0,10,8073,47.96,-347.7366,367.3081,-0.9467,0.4942,-0.5383,47.91255103384696,49.05263157894737,20.0
B_post_recovery,AL,1,10,1.0,20,4308,47.45,-313.378,346.2827,-0.905,0.6457,-0.7213,47.535731887629375,46.7479674796748,0.0
B_post_recovery,AL,1,10,1.5,5,13518,48.22,-370.0061,395.4109,-0.9358,0.3615,-0.3895,48.13186813186813,49.86910994764398,35.714285714285715
B_post_recovery,AL,1,10,1.5,10,7800,48.06,-215.3837,230.358,-0.935,0.4923,-0.5088,47.780964085757205,52.21052631578947,100.0
B_post_recovery,AL,1,10,1.5,20,4234,48.06,-258.5113,282.9893,-0.9135,0.6515,-0.7205,47.97992471769134,49.59349593495935,33.33333333333333
B_post_recovery,AL,1,10,2.0,5,12280,48.02,-411.03,442.6546,-0.9286,0.3617,-0.3986,47.91415273228753,49.6987951807229,57.14285714285714
B_post_recovery,AL,1,10,2.0,10,7462,49.14,-208.932,234.9159,-0.8894,0.4791,-0.518,48.98249608652341,51.73210161662818,50.0
B_post_recovery,AL,1,10,2.0,20,4131,49.0,-304.0004,310.7369,-0.9783,0.6366,-0.7558,48.815043791859864,51.417004048582996,100.0
B_post_recovery,AL,1,10,2.5,5,10935,48.17,-245.4498,286.8718,-0.8556,0.3628,-0.3804,48.03599071207431,50.513698630136986,46.666666666666664
B_post_recovery,AL,1,10,2.5,10,7034,48.55,-214.2588,233.3926,-0.918,0.4709,-0.5035,48.304571601574324,52.4822695035461,40.0
B_post_recovery,AL,1,10,2.5,20,4017,49.27,-302.5787,337.1096,-0.8976,0.6331,-0.7633,49.03002923199575,53.441295546558706,28.57142857142857
B_post_recovery,AL,1,20,1.0,5,13860,47.89,-356.707,368.2728,-0.9686,0.3697,-0.3892,47.8948574921678,48.35742444152431,16.666666666666664
B_post_recovery,AL,1,20,1.0,10,7872,48.67,-221.0839,260.7506,-0.8479,0.5016,-0.5302,48.35238735709482,53.81062355658198,75.0
B_post_recovery,AL,1,20,1.0,20,4280,47.34,-448.7118,464.8886,-0.9652,0.6434,-0.7774,47.1023427866831,52.25225225225225,0.0
B_post_recovery,AL,1,20,1.5,5,12692,47.8,-360.6713,371.7976,-0.9701,0.3722,-0.3953,47.824281680783926,47.8125,20.0
B_post_recovery,AL,1,20,1.5,10,7425,48.63,-287.1865,295.0661,-0.9733,0.4764,-0.5264,48.54630548858318,50.27322404371585,50.0
B_post_recovery,AL,1,20,1.5,20,4139,49.0,-412.118,413.301,-0.9971,0.621,-0.7918,48.71337579617834,54.976303317535546,0.0
B_post_recovery,AL,1,20,2.0,5,11268,47.76,-207.2402,257.6773,-0.8043,0.3722,-0.3755,47.81354670636397,47.233201581027664,28.57142857142857
B_post_recovery,AL,1,20,2.0,10,6786,48.6,-212.2968,232.8372,-0.9118,0.4859,-0.5203,48.39158676152181,53.37620578778135,33.33333333333333
B_post_recovery,AL,1,20,2.0,20,3965,47.92,-339.7596,361.5395,-0.9398,0.629,-0.7433,47.874306839186694,49.41860465116279,33.33333333333333
B_post_recovery,AL,1,20,2.5,5,9655,48.31,-132.7453,169.1787,-0.7846,0.371,-0.3733,48.28367875647668,49.47089947089947,30.76923076923077
B_post_recovery,AL,1,20,2.5,10,6023,48.81,-218.601,240.0753,-0.9106,0.4651,-0.5144,48.645833333333336,52.94117647058824,37.5
B_post_recovery,AL,1,20,2.5,20,3734,47.83,-307.1489,323.667,-0.949,0.6283,-0.7337,47.79680044905978,48.795180722891565,40.0
B_post_recovery,AL,1,40,1.0,5,13254,48.6,-244.7855,299.5692,-0.8171,0.3714,-0.387,48.465421908806796,50.71521456436932,50.0
B_post_recovery,AL,1,40,1.0,10,7561,49.31,-243.8011,274.4926,-0.8882,0.4843,-0.5346,48.84405212274065,57.279236276849645,40.0
B_post_recovery,AL,1,40,1.0,20,4157,48.14,-404.7396,435.743,-0.9288,0.6415,-0.7832,47.489166454244206,59.227467811158796,0.0
B_post_recovery,AL,1,40,1.5,5,11770,48.38,-185.0716,240.6268,-0.7691,0.3838,-0.3901,48.34306241580602,48.88535031847134,57.14285714285714
B_post_recovery,AL,1,40,1.5,10,6881,48.16,-170.8289,219.9801,-0.7766,0.5099,-0.5216,47.79468264945444,54.891304347826086,33.33333333333333
B_post_recovery,AL,1,40,1.5,20,3907,46.92,-405.8715,427.4169,-0.9496,0.6407,-0.7619,46.360461993016386,58.88888888888889,25.0
B_post_recovery,AL,1,40,2.0,5,10030,48.22,-123.5134,212.4014,-0.5815,0.3783,-0.376,48.099538009239815,50.50709939148072,46.15384615384615
B_post_recovery,AL,1,40,2.0,10,6057,48.47,-215.1648,253.1428,-0.85,0.4906,-0.5305,48.29208783548275,51.446945337620576,62.5
B_post_recovery,AL,1,40,2.0,20,3591,47.2,-324.7022,373.7863,-0.8687,0.6248,-0.7298,47.01427323041072,51.973684210526315,33.33333333333333
B_post_recovery,AL,1,40,2.5,5,8278,47.62,-161.7564,211.3025,-0.7655,0.3777,-0.3807,47.553420154254646,49.299719887955185,41.66666666666667
B_post_recovery,AL,1,40,2.5,10,5148,48.35,-187.1924,209.0302,-0.8955,0.4874,-0.5267,48.20627802690583,51.70940170940172,37.5
B_post_recovery,AL,1,40,2.5,20,3185,47.85,-251.0587,274.4216,-0.9149,0.6461,-0.7439,47.461513265640356,56.8,57.14285714285714
B_post_recovery,AL,2,10,1.0,5,14798,48.34,-399.3318,452.4223,-0.8827,0.3758,-0.4039,48.325668295487205,48.74141876430206,37.5
B_post_recovery,AL,2,10,1.0,10,8224,49.05,-413.293,497.7465,-0.8303,0.4837,-0.5643,49.02950310559006,48.983739837398375,100.0
B_post_recovery,AL,2,10,1.0,20,4373,48.62,-439.4439,523.7223,-0.8391,0.655,-0.8153,48.373786407766985,52.0,100.0
B_post_recovery,AL,2,10,1.5,5,14369,48.12,-414.9518,473.277,-0.8768,0.3779,-0.4061,48.0411760349552,49.12485414235706,66.66666666666666
B_post_recovery,AL,2,10,1.5,10,8089,49.13,-438.3088,493.3081,-0.8885,0.4916,-0.5813,49.06505135633395,50.0,60.0
B_post_recovery,AL,2,10,1.5,20,4331,49.09,-307.2571,385.5901,-0.7968,0.6457,-0.7619,48.837209302325576,52.892561983471076,75.0
B_post_recovery,AL,2,10,2.0,5,13841,47.53,-594.9322,614.8737,-0.9676,0.3657,-0.4131,47.60150433648016,46.0,66.66666666666666
B_post_recovery,AL,2,10,2.0,10,7910,49.42,-442.5755,535.2346,-0.8269,0.4816,-0.5812,49.57472660996355,47.1057884231537,50.0
B_post_recovery,AL,2,10,2.0,20,4284,49.67,-259.9118,390.3019,-0.6659,0.671,-0.7828,49.864096861872994,45.72649572649573,100.0
B_post_recovery,AL,2,10,2.5,5,13122,47.68,-514.4886,589.9325,-0.8721,0.3668,-0.4092,47.71183699870634,47.03504043126684,58.333333333333336
B_post_recovery,AL,2,10,2.5,10,7707,48.46,-433.537,538.3136,-0.8054,0.4909,-0.5708,48.484848484848484,48.22546972860125,0.0
B_post_recovery,AL,2,10,2.5,20,4224,50.07,-272.7323,317.8772,-0.858,0.661,-0.7922,50.17641129032258,48.41269841269841,50.0
B_post_recovery,AL,2,20,1.0,5,14532,48.18,-442.8242,521.5455,-0.8491,0.3718,-0.4045,48.16734813084112,48.375451263537904,60.0
B_post_recovery,AL,2,20,1.0,10,8139,48.48,-471.6544,578.4566,-0.8154,0.4871,-0.5709,48.434048083170886,49.31506849315068,50.0
